PKEY,ID,BIKE_ID,FAC_NAME,LONGITUDE,LATITUDE
30661,44629,31503,Florida Ave & R St NW,-77.0135,38.9126
30671,44662,31504,10th & Monroe St NE,-76.99353397,38.9324569
30675,25452,31505,Eckington Pl & Q St NE,-77.00495,38.910972
30687,6496,31506,1st & Rhode Island Ave NW,-77.012289,38.915417
30694,12040,31507,1st & Washington Hospital Center NW,-77.012457,38.928743
30706,44718,31508,Gallaudet / 8th St & Florida Ave NE,-76.9941,38.90509
30715,44744,31509,New Jersey Ave & R St NW,-77.017669,38.912659
30721,25457,31510,18th St & Rhode Island Ave NE,-76.978924,38.927095
30733,55201,31511,12th & Irving St NE,-76.990955,38.928644
30746,63159,31512,Neal St & Trinidad Ave NE,-76.987211,38.903732
30752,44758,31513,Rhode Island Ave & V St NE,-77.004746,38.918155
30756,6504,31514,Hamlin & 7th St NE,-76.997194,38.927497
30769,38792,31515,Fort Totten Metro,-77.0027,38.9524
30779,44777,31516,Rhode Island Ave Metro,-76.995876,38.920682
30786,18286,31517,Union Market/6th St & Neal Pl NE,-76.996985,38.908008
30797,38795,31518,New York Ave & Hecht Ave NE,-76.9837,38.9156
30801,12052,31519,1st & O St NW,-77.012365,38.908643
30814,44474,31520,24th & R St NE / National Arboretum,-76.971923,38.91263
30824,31778,31521,18th & Monroe St NE,-76.9795,38.9329
30832,31779,31522,2nd St & Seaton Pl NE,-77.0036,38.9148
30844,63170,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,-77.0078,38.915
30850,44479,31524,Montello Ave & Holbrook Terr NE,-76.986813,38.907444
30855,32034,31525,-,-76.9832,38.9063
30860,25473,31526,-,-76.9859,38.9243
30867,44483,31527,North Capitol & R St NE,-77.008798,38.912524
30874,31782,31528,John McCormack Rd NE,-76.9972,38.9389
30879,31783,31529,Edgewood Rec Center,-77.0021,38.9241
30882,34849,31530,-,-76.985854,38.910993
30887,63178,31531,MBT & Bryant St NE,-76.99602306,38.92240364
30890,63179,31532,4th & Florida Ave NE,-77.00069815,38.90731645
30893,63180,31533,Tanner Park,-77.00225651,38.91121359
30894,54670,31534,7th & Monroe St NE,-76.99613303,38.93224258
30896,55002,31535,10th St & Rhode Island Ave NE,-76.9926703,38.9224892
30899,63183,31536,5th & Morse St NE,-76.99916661,38.90728677
30901,63184,31537,Fort Lincoln Dr & 33rd Pl NE,-76.9556866,38.9216413
30903,63185,31538,South Dakota Ave & Bladensburg Rd NE,-76.964896,38.9252
30904,55079,31539,South Dakota Ave & 33rd St NE,-76.960696,38.921986
30906,55056,31540,3rd & N St NE,-77.002109,38.907073
30909,63188,31541,10th & Quincy St NE / Turkey Thicket Rec,-76.993509,38.937849
30910,54984,31542,12th & Varnum St NE,-76.990157,38.943596
30912,55377,31543,24th St & Rhode Island Ave NE,-76.97285146,38.93077415
30914,68441,31544,Michigan Ave & Allison St NE,-76.978783,38.945068
30915,68447,31545,18th & Upshur St NE,-76.980378,38.941733
30916,67365,31546,South Dakota Ave & Decatur St NE,-76.991829,38.948307
30920,18296,31600,5th & K St NW,-77.019027,38.90304
30926,18297,31601,19th & East Capitol St SE,-76.9769,38.8896
30939,44600,31602,Park Rd & Holmead Pl NW,-77.0315,38.9308
30949,31787,31603,1st & M St NE,-77.0056,38.9057
30954,18300,31604,3rd & H St NW,-77.015289,38.899408
30963,18301,31605,3rd & D St SE,-77.0023,38.8851
30978,38810,31606,Potomac & Pennsylvania Ave SE,-76.9862,38.8803
30983,18303,31607,14th & D St SE,-76.9861,38.884
30994,31792,31608,8th & Eye St SE / Barracks Row,-76.9953,38.8792
31002,44657,31609,Maine Ave & 7th St SW,-77.02305436,38.8786936
31008,18306,31610,Eastern Market / 7th & North Carolina Ave SE,-76.996806,38.886952
31019,18307,31611,13th & H St NE,-76.9882,38.9003
31029,31796,31612,D St & Maryland Ave NE,-76.9971,38.8948
31036,6526,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,-76.995397,38.884
31043,6527,31614,11th & H St NE,-76.991383,38.899983
31050,6528,31615,6th & H St NE,-76.998347,38.899972
31062,38820,31616,3rd & H St NE,-77.0019,38.9004
31071,44666,31617,Bladensburg Rd & Benning Rd NE,-76.982872,38.900413
31079,18314,31618,4th & East Capitol St NE,-77.000349,38.889955
31086,12076,31619,Lincoln Park / 13th & East Capitol St NE,-76.988355,38.890461
31098,44651,31620,5th & F St NW,-77.019347,38.897222
31103,6534,31621,4th & D St NW / Judiciary Square,-77.016106,38.895344
31115,12079,31622,13th & D St NE,-76.987633,38.894832
31125,31807,31623,Columbus Circle / Union Station,-77.0049,38.897
31135,44682,31624,North Capitol St & F St NW,-77.009888,38.897446
31139,6538,31625,3rd & G St SE,-77.001828,38.881185
31152,31810,31626,15th St & Massachusetts Ave SE,-76.9836,38.8873
31163,44733,31627,3rd & M St NE,-77.00213045,38.90546971
31173,31812,31628,1st & K St SE,-77.006,38.8786
31175,6542,31629,8th & East Capitol St NE,-76.995193,38.889988
31189,44745,31630,15th & East Capitol St NE,-76.983326,38.889908
31197,44746,31631,8th & F St NE,-76.994749,38.897274
31202,6545,31632,15th & F St NE,-76.983575,38.897195
31214,12090,31633,Independence Ave & L'Enfant Plaza SW/DOE,-77.025762,38.887312
